Gene,WT_L8_rep1,WT_L8_rep2,WT_L12_rep1,WT_L12_rep2,KO_L8_rep1,KO_L8_rep2,KO_L12_rep1,KO_L12_rep2
Fam175a,153,163,126,113,216,174,214,230
Mob3b,464,536,479,667,242,139,301,139
Mir145a,0,1,0,0,0,0,0,0
1810034E14Rik,27,28,26,35,9,11,3,4
Vapa,2013,2466,2265,2688,2105,2063,1976,1783
Grik2,12,6,7,1,14,10,35,7
Cacnb2,36,64,36,62,76,55,138,89
Crat,295,347,438,391,195,131,288,188
Akr1c14,1,0,2,1,3,1,1,0
Skap2,202,226,214,230,243,143,261,92
Atg4c,125,158,117,148,136,158,159,185
Tsks,1,1,1,3,1,3,3,3
Dand5,37,27,28,39,39,18,36,47
Mir467e,0,0,0,0,0,0,0,0
Tiam1,460,499,502,339,699,846,827,608
Desi1,503,569,462,489,759,638,656,430
Bcr,1854,1951,2226,2269,1092,821,1438,959
Dusp3,1097,1284,1473,1789,634,312,627,325
Itgax,0,2,0,5,0,0,2,5
Apod,1,1,2,0,3,4,8,2
Taar9,0,0,0,0,0,0,0,0
Gm16130,2,0,3,3,0,0,3,1
Rhog,340,422,411,475,330,229,340,197
Ncam1,312,441,566,808,403,611,974,1766
Clcf1,21,25,21,31,16,7,33,5
Sec11c,190,149,249,248,145,84,136,74
Ppfia2,3,0,3,1,5,4,22,17
Nipal1,15,34,41,62,25,43,17,38
Abca4,18,34,49,60,28,40,29,32
Fkbp14,155,185,406,406,133,42,232,214
Mlx,475,492,517,498,513,279,533,292
Kbtbd3,23,38,38,23,37,34,42,19
Lrrc74b,0,0,1,0,2,1,4,0
Klhdc9,37,63,45,52,54,77,98,55
Madd,212,277,278,243,313,214,468,166
Patl2,15,19,22,45,3,0,13,0
Fubp3,1480,1771,1365,1589,1664,1101,2007,1002
Wac,1008,1207,1133,1226,1325,1547,1598,1674
Grb14,54,83,59,87,46,96,108,65
Tagln2,3406,3493,4123,4744,2780,1653,1790,1040
Ipp,118,170,114,126,108,64,143,48
Mpl,4,20,10,32,0,2,3,3
Sarm1,9,12,13,14,59,18,144,32
5031414D18Rik,0,1,3,3,3,1,0,0
Itpr3,1291,1589,1637,1614,537,487,839,371
Rab24,672,769,698,678,571,388,561,329
Mir204,0,0,0,0,0,0,0,0
D630041G03Rik,5,12,6,13,6,7,15,9
Nenf,76,126,104,139,93,64,115,65
Cd34,30,131,58,146,51,39,152,203
Pcdhb13,5,5,0,1,0,0,7,1
Tubgcp3,776,781,848,729,864,898,1080,819
Teddm1a,0,1,0,0,0,0,0,0
Ddx39b,3180,4025,2754,2949,5915,5636,6411,4874
Olfr262,0,0,0,0,0,0,0,0
Brk1,942,1178,1027,1127,1574,677,1756,675
Olfr403,0,0,0,0,0,0,0,0
Bpifa3,0,0,0,0,0,0,0,0
Tacc1,340,488,376,504,630,478,663,524
Mbip,192,185,183,161,293,272,341,293
Clpsl2,0,0,0,0,0,0,0,0
Rgs9,19,13,13,15,31,18,95,57
Cdk3-ps,8,16,9,12,10,4,18,7
Zfp804b,2,2,0,3,1,2,2,0
Pggt1b,362,410,394,447,341,306,444,361
Clcn2,472,308,584,429,399,164,533,178
Cd84,0,0,0,15,0,4,0,3
Adam26b,0,0,0,0,0,0,0,0
Mir767,0,0,0,0,0,0,0,0
Sh3gl3,12,3,8,10,47,59,86,49
Ovgp1,15,26,26,19,41,26,54,32
Adcy6,1146,1696,1258,1674,821,764,1713,1208
Slc10a2,0,0,0,0,1,0,0,0
Pmepa1,511,371,629,443,391,357,307,217
Lrp2bp,5,2,8,4,2,2,3,3
Gm10670,0,0,0,0,0,0,0,0
Prl3c1,0,0,0,0,0,0,0,0
Spata45,0,2,1,3,4,0,4,0
Gm1979,0,0,0,0,0,0,0,0
Pigm,930,944,942,1015,1188,926,1223,807
Gm10857,3,17,11,2,5,7,12,5
Olfr99,0,0,0,0,0,0,1,0
Mir5617,0,0,0,0,1,0,0,0
Zdhhc11,0,0,0,0,0,0,0,0
4930519G04Rik,0,0,0,0,0,0,0,0
Rn45s,16617,23619,12542,17271,36713,9265,28317,4929
Krr1,1049,1037,1054,1120,1688,1465,1436,1050
Prss21,0,0,0,0,0,0,0,0
Ank3,407,448,527,614,383,437,812,980
Mir298,0,0,0,0,0,0,0,0
Anxa1,102,186,231,341,203,100,137,87
Sfn,137,143,96,71,338,200,337,141
Icam2,6,39,14,40,4,12,28,29
St8sia1,21,50,32,26,58,79,157,188
Dnajc14,1006,1236,1184,1258,1068,707,1176,688
Selenbp1,3,5,12,38,5,4,16,13
Pth2r,4,2,0,0,23,9,4,1
Mif4gd,375,356,418,348,354,198,388,166
Tmbim7,0,0,1,0,0,0,0,0
Nfic,60,73,143,248,161,74,403,328
Zfp414,274,288,270,289,276,329,348,371
Mir6949,0,0,0,0,0,0,0,0
Hoxb7,8,12,3,6,55,31,24,10
Pelo,224,271,217,230,332,178,330,189
H2afy3,25,42,27,19,58,37,107,59
Rsu1,600,815,512,629,660,675,599,828
Kif19a,7,15,7,16,6,3,17,7
1700027H10Rik,1,0,2,0,0,0,2,5
Olfr1229,0,0,0,0,0,0,0,0
Camkv,46,112,47,92,178,143,186,86
Myo9b,1378,1523,1614,1394,1448,1286,1782,1352
Map6d1,15,11,19,19,11,10,18,7
Rsad2,43,73,40,105,8,3,28,11
Hsd11b2,423,1036,1257,2160,270,231,774,677
Mir295,4,7,3,2,9,1,11,1
Eif3g,1444,1574,1289,1332,2016,1299,1846,958
BC064078,3,0,2,4,7,7,10,1
Prkcsh,2583,2235,3632,3319,1899,1312,2160,1214
Nudcd3,1179,1468,1280,1424,1487,1073,1656,699
Cln8,861,669,1164,828,507,361,581,283
E530001F21Rik,1,0,0,0,0,0,1,0
AY512915,0,0,0,0,0,0,0,0
Rbm48,179,170,157,173,186,229,226,214
Acvr2a,436,511,563,639,640,618,848,558
Gm8096,0,1,0,0,0,0,0,0
Fam132a,81,151,100,141,98,96,141,54
Rprl3,0,0,0,0,0,0,0,0
Serpinb6c,300,150,395,307,73,7,78,5
Lincenc1,223,153,90,59,836,252,1037,307
Vmn1r88,0,0,0,0,0,0,0,1
Olfr488,0,0,0,0,0,0,0,0
Lrrc74a,0,0,0,0,0,0,0,0
Prl,0,0,0,0,0,0,0,0
Rmdn2,50,116,60,96,50,97,53,77
Gm7609,0,0,0,0,0,0,0,0
Nek11,0,2,1,6,1,2,1,3
4930435E12Rik,0,0,0,0,0,0,0,0
Vmn1r69,0,0,0,0,0,0,0,0
Emilin3,39,9,155,79,91,40,92,33
Grb10,7371,13669,4514,7550,9936,12902,12236,18943
Wwp2,614,640,600,602,859,626,918,573
Gm21949,272,473,257,349,688,758,582,669
4930503E24Rik,107,115,72,96,185,198,156,135
Gm15417,9,16,8,15,8,8,16,2
Ccdc166,24,28,26,32,40,27,56,12
Tgoln1,3419,3053,5018,4273,1887,794,2103,724
Cebpg,515,552,666,663,712,505,900,468
1700051A21Rik,0,0,0,0,0,0,0,0
Atf7,109,156,149,140,103,135,178,141
Gna14,34,28,9,34,38,87,19,27
Nodal,181,159,52,45,593,493,362,307
Tnni3,5,7,4,22,25,11,23,11
Mea1,630,715,572,608,655,455,673,356
Spsb4,68,76,78,83,235,90,394,107
Clca3b,1,2,3,2,6,12,4,27
4833418N02Rik,9,5,8,8,10,6,14,1
Mir592,0,0,0,0,0,0,0,0
Mzt1,628,716,596,576,966,701,1225,633
Cysltr1,18,44,46,101,22,26,35,38
Thoc7,531,632,517,491,920,776,835,634
Lyrm1,18,14,17,17,29,24,34,26
Pik3c2b,105,85,150,85,267,189,433,114
Plcg2,308,364,122,172,472,304,390,381
Prl3b1,2,11,5,26,0,0,0,4
Umps,1065,1189,927,1068,1826,1705,1604,1060
Gm11569,0,0,0,0,0,0,0,0
Vwce,50,96,89,107,14,11,16,13
Cpxm2,8,3,1,1,13,25,8,13
Itk,1,0,1,0,0,0,2,2
Gstt1,6,13,9,15,8,9,7,8
1700054K19Rik,0,0,0,0,0,0,0,0
Nhej1,66,62,55,50,75,77,59,37
Mir188,0,0,0,0,0,0,0,0
Crygf,0,0,0,0,0,0,0,0
Ptgs2os2,0,0,0,0,0,0,0,0
4930529K09Rik,0,0,0,0,0,0,0,0
Hadhb,36,35,56,45,44,26,66,42
Fabp7,61,2,110,4,142,104,406,53
Msi1,253,173,178,81,643,281,977,171
Vmn1r142,0,0,0,0,0,0,0,0
Olfr629,0,0,0,0,0,0,0,0
Mir467a-3,0,0,0,0,0,0,0,0
Dync1i2,1611,2076,1526,1894,2022,2194,2298,2326
Nsmce1,215,295,228,283,322,235,336,209
Neurod2,0,0,1,0,0,0,2,0
Ceacam19,1,0,0,0,4,0,1,1
Ptp4a1,146,236,202,221,218,147,261,155
Nfyc,162,212,161,174,273,173,277,135
Cldn11,6,11,2,3,10,2,5,1
Lrrc4,42,36,30,20,65,21,78,12
Gm20852,0,0,0,0,0,0,0,0
Nudt21,46,54,45,35,98,77,72,71
Gm16386,55,89,66,54,90,95,183,142
Mir383,0,0,0,0,0,0,0,0
Fam71f1,0,0,0,1,0,0,2,2
Impg1,0,2,0,2,0,0,0,0
Olfr665,0,0,0,0,0,0,0,0
Krtcap2,653,655,968,1020,704,724,691,659
Map3k6,36,32,50,24,62,41,50,26
Ccdc90b,224,236,205,224,255,232,294,235
9430037G07Rik,3,5,5,13,6,5,3,5
Glud1,2555,2280,2171,2279,2896,2079,2347,1508
Pnrc2,1186,1213,1246,1388,992,951,1262,1172
Tyr,0,0,0,0,2,0,0,0
Tlr12,2,3,1,1,4,0,5,5
1110038F14Rik,190,234,195,220,338,247,334,181
Efcc1,3,4,5,3,3,0,25,2
Agmo,2,4,3,9,2,1,0,1
Cab39,1782,2149,1957,2342,1977,1978,2251,1647
Epha2,839,733,707,716,1703,856,1065,598
Apbb1,296,599,446,709,487,343,816,285
Crisp2,0,0,0,0,1,0,0,0
Olfr3,0,0,0,0,0,0,0,0
Mybphl,0,3,1,13,0,0,4,2
Col7a1,59,104,34,38,135,73,88,19
Defa5,0,0,0,0,0,0,0,0
6030443J06Rik,16,4,13,5,6,12,16,5
Slc34a1,0,0,0,0,0,0,0,0
Ankub1,0,0,0,0,1,0,1,0
Smco1,0,0,0,0,0,0,0,0
Defa20,0,0,0,0,0,0,0,0
Slc17a7,10,8,7,10,23,32,24,20
Clrn3,7,2,76,128,4,0,5,2
Xlr4b,0,0,0,0,0,0,0,0
Ifitm7,4,1,1,0,12,8,25,1
Slc14a1,1,8,23,30,3,2,65,136
Pcp4,3,4,17,20,1,7,8,37
Mcmdc2,2,5,4,9,5,4,9,0
Fbxl8,44,48,114,92,27,12,44,25
Heatr1,1558,1540,891,887,3265,2423,2654,1488
Kcnj10,10,14,6,3,18,12,13,4
Psg23,0,1,0,0,0,0,0,0
4930455D15Rik,5,2,1,0,2,0,3,0
Zkscan8,446,500,486,533,467,742,779,852
Glis1,31,80,23,37,74,106,74,33
Bcl9,657,941,642,920,1270,839,1888,1145
Fermt2,1282,2016,966,1624,2030,2194,1899,2403
Rad54b,256,260,190,209,307,316,373,438
Ccl11,0,0,0,0,0,0,0,3
Tmem38b,133,130,146,184,119,49,140,63
Insl5,0,1,0,0,0,1,0,0
Dcun1d2,344,310,308,292,288,227,318,208
Apoc4,2,0,1,4,0,0,2,0
Hpcal4,3,4,1,0,13,8,15,10
4930572K03Rik,0,0,0,0,0,0,0,0
Capza3,0,0,0,0,0,0,0,0
Bmf,388,742,453,783,369,289,702,536
2310057N15Rik,0,0,0,0,0,0,0,0
Grm6,7,7,0,1,18,14,8,13
Kpna3,1551,1624,1290,1241,2568,2212,2268,1865
Adra1d,6,4,8,19,5,0,3,1
Fam166b,2,2,0,1,2,0,0,0
Pcdhac2,49,89,39,62,126,364,269,588
Fgf21,0,0,0,1,2,0,2,3
Ccdc77,259,317,287,317,469,279,530,214
Rab32,77,87,62,69,147,116,61,46
Pik3ca,871,1082,1019,1203,955,977,1270,1300
Aldh1a2,49,41,67,75,149,141,592,309
Ticam2,5,23,2,4,18,16,18,22
Gm10371,3,3,2,2,0,0,1,0
Ugt2b1,0,0,0,0,0,0,0,0
Dusp6,864,562,436,616,1890,1325,1406,1066
Ddah2,1453,2040,1511,1687,1218,727,2092,702
Slc50a1,220,169,406,278,86,52,88,61
Vps13b,1243,1310,1165,1076,821,987,1017,834
Chrac1,234,269,210,290,355,172,365,178
Ceacam14,0,0,0,0,0,0,0,0
Myom1,27,53,43,157,56,77,109,396
Gm15694,16,20,13,11,21,12,21,12
Focad,463,431,428,361,372,287,508,286
Adsl,704,780,610,665,1430,1020,1387,768
Fastkd5,256,263,174,229,495,457,455,378
Gja8,0,0,1,0,1,0,0,2
Krtap31-1,0,0,0,1,0,0,0,0
Actl7b,0,0,1,0,1,1,2,0
Prkcz,149,134,172,216,121,85,140,55
Trmt12,123,137,120,132,156,137,192,129
Rap1gap,1086,750,1963,2429,103,27,326,73
2810007J24Rik,0,0,0,0,0,0,0,0
Gprc5b,82,72,65,63,191,135,365,134
Arid3c,20,34,3,6,16,33,2,3
Vmn1r179,0,0,0,0,0,0,0,0
Cetn4,1,2,4,1,6,4,6,4
Egr1,200,268,346,429,185,397,280,319
Crnn,0,1,1,1,0,1,0,0
Il7r,0,0,1,2,0,0,0,0
Mcur1,146,207,232,263,202,203,218,190
Hpgds,5,1,33,38,1,1,14,4
Cyth3,582,789,878,935,492,411,775,669
Tc2n,37,51,46,63,24,32,25,12
Klk13,7,1,1,0,7,3,4,2
Armc12,0,0,0,1,0,2,2,2
Gba2,366,417,370,368,409,285,584,287
4933413L06Rik,0,0,0,0,0,0,0,0
Angptl3,0,0,1,0,0,0,0,0
Zfp768,256,290,294,353,348,187,589,231
Apol10a,0,0,0,0,0,0,0,0
Crnkl1,464,540,426,438,789,702,746,656
Sdc1,363,575,431,480,1109,688,1528,700
Usp17la,0,0,0,0,0,1,1,6
Bbs9,131,145,170,169,109,87,162,143
Ints1,1543,1623,1448,1334,1945,1121,2133,820
Ccng2,552,821,558,717,270,330,671,391
Ciapin1,589,730,461,397,970,588,895,347
1600002K03Rik,42,78,54,69,48,19,53,9
1700109G15Rik,0,0,0,0,0,0,0,0
Mir7036b,0,1,1,0,0,0,1,1
Agr2,0,0,0,0,0,0,0,0
Shmt1,937,1032,715,926,1103,793,1220,599
Trmt61b,44,60,52,50,103,70,85,29
Trappc2,24,26,28,21,33,23,26,22
Snord110,0,2,0,1,0,2,2,3
S100a6,157,241,144,178,270,130,142,55
Hist1h4k,1,2,2,2,1,1,2,3
Olfr1344,0,0,0,0,1,0,0,0
Wtap,382,452,390,418,688,518,639,470
Zfpm1,883,1672,943,1138,465,619,738,855
Pim3,535,791,504,676,721,246,514,151
Dpp6,35,37,16,31,78,75,62,50
Cyp2b23,33,19,7,3,59,252,20,72
Mfsd7b,231,345,191,206,452,340,367,222
Lyg2,0,1,0,0,0,0,0,0
Mir6540,0,0,0,0,0,0,0,0
Fam98a,635,813,744,886,798,666,775,580
Fcamr,1,1,0,0,0,0,3,1
Mir3964,0,0,0,0,0,0,0,0
Raph1,861,1209,858,1024,1149,1078,1396,1191
Mir7677,0,3,1,0,2,0,0,1
Olfr202,0,0,0,0,0,0,0,0
C530044C16Rik,0,0,1,1,0,0,1,0
Pigo,562,636,666,580,410,256,592,230
Wfdc2,116,114,67,57,219,133,202,138
Asnsd1,895,1038,708,835,1260,1067,1161,935
Stx16,702,943,794,896,985,940,1177,1018
Nlrp1b,0,1,1,3,0,0,0,1
Lrat,1,1,1,4,0,1,0,0
Flywch1,412,403,265,306,633,426,809,361
2310015D24Rik,0,0,0,0,1,0,0,0
Ces4a,1,0,1,0,0,0,0,0
Zbtb41,362,447,404,401,531,484,803,664
Tmsb15b1,6,17,7,16,11,17,18,21
Dctn3,414,436,441,477,413,286,444,200
Tpd52,822,922,662,815,611,334,729,411
Nup37,371,386,240,278,630,500,538,316
Akr1cl,0,0,0,0,0,0,0,0
Tmem8c,0,0,0,0,0,1,0,0
Yipf3,789,771,929,938,496,342,527,289
Dusp18,139,160,156,159,162,111,219,105
Gm17727,0,0,0,0,0,0,0,0
Cdh24,132,162,125,119,177,136,327,140
Myo16,19,26,23,12,12,1,44,10
Xlr,4,0,2,0,10,5,1,0
Hexim1,688,671,643,732,1019,711,1204,675
Olfr982,0,0,0,0,0,0,0,0
Peg12,133,73,86,66,511,250,493,210
Olfr1157,0,0,0,0,0,0,0,0
Fnbp1,308,451,280,403,673,615,925,769
Oard1,324,385,307,335,630,340,539,298
Cyp2c50,0,0,0,0,0,0,0,0
Cux2,33,26,27,65,63,47,306,128
Cplx3,1,1,1,0,0,1,3,1
Mfap1a,162,193,183,188,217,192,240,182
Mcu,345,506,554,648,327,224,367,221
Gprin3,1,0,5,4,1,0,5,5
Elmsan1,666,837,606,637,938,741,936,671
Nucb1,2534,2554,3285,3244,1454,1304,1698,1489
2210409D07Rik,0,0,0,0,0,0,0,0
Gmfg,13,20,5,11,15,2,15,9
Odf4,0,0,0,0,3,0,0,0
Psg-ps1,0,0,0,0,0,0,0,0
BC048507,76,95,80,75,137,59,123,46
Izumo3,0,0,0,0,0,0,0,0
Mir7662,0,0,0,0,0,0,0,0
Stx5a,791,980,1207,1349,616,368,822,555
Ces1g,1,5,0,1,1,0,4,1
Aff1,1122,794,1897,1692,719,449,669,521
Lrrc56,65,64,59,38,67,41,122,35
Ptrh2,298,323,264,252,618,380,580,308
Adat2,91,87,87,76,113,112,110,67
Btn1a1,3,5,13,7,1,2,6,1
Gm11559,0,0,0,0,0,0,0,0
Gcdh,432,371,427,380,460,241,495,249
Plxdc1,20,10,2,4,34,7,36,6
Mbd3l2,0,0,0,0,0,2,0,1
4930572O13Rik,0,1,0,0,0,0,0,0
Inpp5e,890,1073,1067,1025,1030,881,1170,881
Ipo11,917,1039,709,673,1646,1490,1499,1024
Itgae,6,7,1,3,6,8,10,4
Mir5625,24,23,31,25,13,2,17,2
Gpr88,2,0,1,12,1,0,5,1
Olfr1302,0,0,0,0,0,0,0,0
Pdcd10,136,195,139,155,202,212,171,153
Ddx4,40,40,17,26,87,66,92,118
Krt6a,3,8,27,16,2,4,18,2
Rab18,1357,1735,1374,1543,1524,1224,1405,1257
B330016D10Rik,12,17,12,8,8,14,35,19
Ddhd2,497,482,583,413,416,414,535,450
Olfr455,1,0,0,0,1,0,0,0
Tbcc,137,176,146,179,222,114,229,86
Nlrp4b,0,0,0,0,0,0,0,0
Otor,0,0,1,0,0,1,4,0
D430019H16Rik,61,50,120,113,126,59,518,174
Lca5,138,228,136,182,222,242,329,324
Fam179a,0,0,0,2,1,0,0,0
Zfp84,245,294,269,255,332,420,393,360
Tnfrsf26,2,1,3,2,9,0,1,0
2310045N01Rik,200,195,282,236,149,153,205,150
Slc9a4,0,0,0,1,0,1,0,0
Fgd2,18,19,9,17,32,10,25,11
Snord19,6,5,3,2,7,6,10,2
Mir1291,11,5,9,0,15,7,15,11
Uggt1,2805,2553,3763,3970,2347,2161,2793,2143
Trim60,1,1,0,2,4,2,3,4
Efcab2,134,81,279,175,41,41,75,30
A630023A22Rik,0,0,0,0,0,1,1,0
Mir669h,0,0,0,0,0,0,0,0
Mir489,0,0,0,0,0,0,0,0
Wbp11,2036,2271,1822,1962,2831,2389,3059,2266
Gm10863,0,0,0,0,2,1,4,0
Vmn2r26,0,0,0,0,1,0,0,1
Tubd1,60,70,87,70,90,79,99,66
Olfr447,0,0,0,0,1,0,0,0
Ttc39a,254,349,391,535,57,52,90,91
Gpatch1,303,365,283,312,369,274,374,227
Mir465b-1,0,0,0,0,0,0,0,0
Dpf3,23,86,23,57,27,76,62,56
Rgs22,2,5,1,1,3,7,5,2
Mir467d,0,0,0,0,0,0,0,0
Ptcd2,385,368,306,326,615,440,514,304
Mmp24,196,159,329,341,73,17,98,27
Man1a,552,701,923,1038,177,201,411,427
Taf15,1283,1337,1136,1168,2583,1206,2875,1250
Phtf1os,179,226,162,195,294,260,362,322
Pabpn1,2068,2387,1977,1883,3382,2024,3465,1634
Mir3060,0,2,1,0,0,0,5,1
Fam46b,36,44,18,34,114,44,56,23
Cyp8b1,0,0,0,0,0,0,0,0
Chat,0,1,0,0,0,1,2,0
Arhgap20,11,14,11,13,21,15,54,46
Gm10069,22,31,11,25,33,17,40,31
Chrna6,2,0,0,0,0,1,0,0
Nbeal2,208,343,225,243,215,148,252,111
Phlpp2,384,509,348,404,370,334,563,395
Glb1,1203,1286,1642,1682,488,217,697,302
1700034J05Rik,0,0,0,0,0,0,0,0
Churc1,152,194,193,147,162,128,165,109
Mir7652,0,0,0,0,0,0,0,0
Mir6907,4,7,6,5,12,6,8,3
Cenpw,154,180,128,111,301,192,246,142
Npc1l1,73,156,135,255,17,12,30,19
Atp5c1,2044,2240,1759,2068,2427,2553,2571,2366
Pla2g4a,12,60,259,497,32,22,87,41
Sprn,1,2,0,0,5,0,1,1
Pkmyt1,408,526,472,412,477,292,546,238
Csf2ra,131,185,182,203,65,68,136,83
Dcaf10,429,520,514,533,465,407,552,381
1700016P04Rik,0,0,0,0,0,0,0,0
Gm5105,1,0,0,2,0,0,1,1
Vmn2r16,0,0,0,0,0,0,0,0
Nelfe,450,512,409,519,762,498,708,382
Myo15,9,13,10,11,12,5,26,9
Polr3h,224,270,193,231,420,235,356,126
Cpn1,223,358,296,572,48,50,118,47
Zc3hav1,605,793,687,710,366,336,585,237
Lmo1,11,20,8,7,21,33,56,17
Tspo2,1,1,2,1,1,0,4,0
Zswim4,454,588,390,439,879,565,1101,531
Csrp1,1997,3464,1862,2665,2224,1429,1597,1185
1700093K21Rik,1,3,0,0,6,0,1,2
Imp4,874,992,697,741,1203,1034,1068,734
Rreb1,1182,1507,1393,1556,804,698,979,723
Fbxo38,1185,1359,1190,1309,1372,1202,1603,1201
Pcsk2os2,0,1,0,0,1,3,3,0
2310022A10Rik,365,488,378,360,610,362,643,348
Kdm4a,1095,1363,1171,1418,1293,1032,2115,1271
Pkhd1l1,11,80,13,15,7,36,9,14
Olfr78,0,0,0,0,2,1,0,1
Nmur2,0,0,0,0,0,0,0,0
Cdk15,1,0,1,3,0,0,3,0
Tesk1,393,466,500,510,647,300,726,242
Tnfrsf18,20,15,23,13,9,24,24,19
Vmn1r225,0,0,0,0,0,0,0,0
Mir669a-7,0,0,0,0,0,0,0,0
Tas2r108,0,0,0,1,1,0,0,0
Tmem225,0,0,0,0,1,0,0,0
Fam101b,133,262,197,271,202,147,415,205
AU019823,434,489,456,439,684,597,616,541
4930417O13Rik,0,0,0,0,0,0,0,0
Piwil2,17,20,18,20,44,20,27,23
Phkg2,380,444,301,362,400,320,408,310
1700036G14Rik,0,0,0,0,0,0,0,0
Ccdc162,5,9,5,1,2,1,5,7
5830416I19Rik,0,0,0,0,0,0,0,0
Casp6,307,439,383,563,264,288,399,374
4732491K20Rik,29,30,39,39,8,8,17,19
2010005H15Rik,1,0,2,0,0,0,0,0
Hsd3b2,1,2,1,1,0,0,2,1
Nid2,7814,6496,10193,7652,3217,2518,3643,3327
Arhgap17,1113,1094,1046,1081,798,560,844,482
Tpm1,3061,4436,2660,3936,10846,10199,5317,6371
F830045P16Rik,0,0,0,0,1,0,0,0
Lair1,0,0,3,5,0,0,5,1
Klra14-ps,0,0,0,0,0,0,0,0
Ppfia1,1220,1451,1282,1422,1470,1421,1662,1260
Mir3087,0,0,0,0,0,0,0,0
4933402P03Rik,1,0,1,0,2,0,0,0
Scgb1b2,0,0,0,0,0,0,0,0
Gm4432,3,2,7,0,0,1,2,3
Slc22a5,64,81,60,70,100,42,164,78
4933427D14Rik,270,259,226,267,325,322,559,294
Ercc6l,506,574,389,468,845,635,933,552
Spata1,36,49,35,44,47,25,24,58
Rhbdd2,317,335,286,302,417,318,472,229
Gnb2l1,17619,20986,14809,15846,25679,17912,25034,12039
H2-Q7,4,5,1,7,23,17,28,8
Slc1a4,921,731,964,1044,939,761,849,565
Krtap6-2,0,0,0,0,0,0,0,0
1600014K23Rik,15,12,12,8,5,0,6,0
Tsc2,1265,1525,1169,1319,1624,1407,1959,1259
Psma8,7,3,3,2,24,9,23,10
Mcf2l,256,154,245,178,147,83,291,113
Ormdl3,428,556,647,718,459,172,670,192
Mir6985,1,1,0,2,0,0,0,0
Cyp17a1,8,4,7,15,1,2,6,2
Dtx3,887,1112,944,1086,719,509,1276,710
Gins2,531,512,374,406,642,411,549,254
4930447M23Rik,0,0,0,1,0,0,0,0
Fbxo36,18,32,39,43,24,30,28,35
Gbp3,5,5,1,7,31,9,18,5
Trim12c,31,81,29,56,72,58,99,81
Hist3h2ba,17,16,16,14,22,4,61,11
Ttyh2,99,86,120,148,172,91,224,119
Fyb,3,12,8,43,0,0,1,6
Vps13c,1069,848,1415,1226,464,249,599,264
Rpl11,8,8,9,7,13,11,17,17
Fbxo2,45,37,98,54,32,29,38,14
Nprl2,175,232,195,190,187,127,251,138
Olfr698,0,0,0,0,0,0,0,0
Xkrx,3,1,7,2,2,1,3,0
Fbxw20,0,0,1,6,0,0,0,0
Ins1,0,0,0,0,0,0,0,0
1700084C01Rik,3,0,0,1,1,3,2,2
Pitpnc1,191,259,99,111,411,489,598,410
Vmn2r84,0,0,0,0,0,0,0,0
Coil,371,300,275,269,516,235,564,204
Pxk,683,749,807,813,322,191,392,229
Snord35b,7,5,5,2,11,5,7,2
Olfr93,0,0,0,0,0,0,0,0
Gm20748,5,13,4,10,30,18,24,15
Pitx3,0,1,0,1,0,0,1,0
Gcnt3,6,8,39,17,5,1,5,1
Tbcb,468,516,493,527,767,554,768,523
Gm10639,0,0,0,0,0,0,0,0
Mir6939,5,5,7,5,3,2,8,4
Serpinb5,2,1,1,0,2,1,1,1
U2surp,2431,2704,1958,2258,3043,3110,3255,2997
Ttc39c,29,22,32,23,51,40,93,33
Olfr775,0,0,0,0,0,0,0,0
Olfr1307,0,0,0,0,0,0,0,0
Anxa11,254,201,345,370,283,82,302,65
Adam29,0,0,0,0,0,0,0,0
Tspy-ps,0,0,0,0,0,0,0,0
2700062C07Rik,95,76,88,79,80,80,89,107
Hmga1-rs1,873,1061,309,373,2109,1616,1303,862
Bsg,7786,9568,9412,11607,5592,4648,6130,4263
Mageb1,0,0,0,0,0,0,0,0
Dhodh,281,259,264,222,385,228,400,171
Hmbs,408,671,406,522,471,311,508,278
Col22a1,20,36,45,53,53,41,122,29
Celrr,0,1,0,0,0,0,1,0
Lpcat4,827,647,1512,998,473,235,452,172
Vmn1r237,0,0,0,0,0,0,0,0
Il15ra,5,3,0,4,21,17,5,4
Dync1li1,908,1029,847,891,1076,853,1083,666
Icmt,948,1022,1068,1077,1088,734,1084,558
Farp1,924,1604,1211,1756,1238,1073,1926,1841
Snx29,119,104,133,113,46,35,82,43
C130071C03Rik,0,1,0,0,0,0,1,2
Mir1956,0,0,0,0,1,0,0,1
Rcor1,821,898,1062,1047,469,551,797,628
Prkab1,953,879,1152,1036,735,521,658,413
Clvs1,111,145,170,203,128,104,189,132
Olfr1390,0,0,0,0,0,0,0,0
Olfr1432,0,0,0,0,0,0,0,0
B930041F14Rik,43,58,83,75,101,87,139,116
Ampd2,1471,1589,1341,1195,1307,786,1441,663
1700095A21Rik,0,0,0,0,0,1,1,0
Scaf1,1482,1878,1649,1693,1758,1015,2210,907
Celf3,17,10,32,10,22,21,186,26
Redrum,2,19,1,3,0,0,0,4
Vmn1r220,0,1,0,0,0,0,0,0
Atp12a,2,1,7,3,0,2,3,6
Sapcd1,26,40,52,36,5,10,19,15
Ero1lb,108,85,215,296,44,32,77,42
Apobec2,28,54,8,27,35,93,31,39
Rps14,3064,3898,2763,3110,4486,1386,4083,774
Plod2,10535,8194,16206,15870,2512,1796,3589,3001
Cdc37l1,549,613,570,613,736,543,965,577
Ccz1,628,751,622,722,856,765,915,686
